Device,NetworkClassification,LowPort,HighPort,Protocol,Service,Boundary1,Boundary2,Boundary3,Boundary4,Boundary5,Boundary6,Boundary7,Boundary8,Boundary9,Boundary10,Boundary11,Boundary12,Boundary13,Boundary14,Boundary15,Boundary16,Comments
DEGTHAT,,135,,tcp,epmap,,,,,,,,,,,,,,,,,
DEGTHAT,,137,,udp,netbios-ns,,,,,,,,,,,,,,,,,
DEGTHAT,,138,,udp,netbios-dgm,,,,,,,,,,,,,,,,,
DEGTHAT,,139,,tcp,smb,,,,,,,,,,,,,,,,,
DEGTHAT,,443,,tcp,www,x,x,x,x,,,,,,,,,,,,,
DEGTHAT,,445,,tcp,cifs,,,,,,,,,,,,,,,,,
DEGTHAT,,500,,udp,isakmp,,,,,,,,,,,,,,,,,
DEGTHAT,,623,,tcp,asf-rmcp,,,,,,,,,,,,,,,,,
DEGTHAT,,3389,,tcp,msrdp,,,,,,,,,,,,,,,,,
DEGTHAT,,4500,,udp,ipsec-nat-t,,,,,,,,,,,,,,,,,
DEGTHAT,,5355,,udp,llmnr,,,,,,,,,,,,,,,,,
DEGTHAT,,8452,,tcp,unknown,,,,,,,,,,,,,,,,,
DEGTHAT,,8884,,tcp,www,,,,,,,,,,,,,,,,,
DEGTHAT,,15003,,tcp,unknown,,,,,,,,,,,,,,,,,
DEGTHAT,,16992,,tcp,unknown,,,,,,,,,,,,,,,,,
DEGTHAT,,49152,,tcp,dce-rpc,,,,,,,,,,,,,,,,,
DEGTHAT,,49153,,tcp,dce-rpc,,,,,,,,,,,,,,,,,
DEGTHAT,,49154,,tcp,dce-rpc,,,,,,,,,,,,,,,,,
DEGTHAT,,49155,,tcp,dce-rpc,,,,,,,,,,,,,,,,,
DEGTHAT,,49156,,tcp,dce-rpc,,,,,,,,,,,,,,,,,
DEGTHAT,,49201,,tcp,dce-rpc,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,123,,udp,ntp,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,135,,tcp,epmap,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,137,,udp,netbios-ns,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,138,,udp,netbios-dgm,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,139,,tcp,smb,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,443,,tcp,www,x,x,x,x,x,x,x,,,,,,,,,,
IDS-CONEX-HQ,,445,,tcp,cifs,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,500,,udp,isakmp,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,1900,,udp,ssdp,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,3389,,tcp,msrdp,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,3389,,udp,ms-wbt-server,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,4500,,udp,ipsec-nat-t,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,5050,,udp,mmcc,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,5353,,udp,mdns,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,5355,,udp,llmnr,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,5432,,tcp,postgresql,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,5985,,tcp,www,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,6547,,tcp,apc-6547,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,8443,,tcp,www,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,8444,,tcp,www,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,15004,,tcp,unknown,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,47001,,tcp,www,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,49664,,tcp,dce-rpc,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,49665,,tcp,dce-rpc,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,49666,,tcp,dce-rpc,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,49667,,tcp,dce-rpc,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,49668,,tcp,dce-rpc,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,49669,,tcp,dce-rpc,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,49934,,tcp,dce-rpc,,,,,,,,,,,,,,,,,
IDS-CONEX-HQ,,64950,,udp,unknown,,,,,,,,,,,,,,,,,
